Vezir Sayısı, Çözüm Sayısı, Geçen Süre (ms)
2, 1584, 87
3, 11330, 12
4, 64040, 16
5, 279900, 76
6, 941552, 262
7, 2345070, 650
8, 4246188, 1376
9, 5432840, 2595
10, 4607112, 4317
11, 2440344, 5433
12, 700604, 6081
13, 73712, 6140
